NGC 221	\	0.8	-0.26	11.77	0.98	1.36	0.01	2.27	8.57	6.38	-3.79	6.32	-3.78
NGC 224	\	0.8	0.11	13.44	4.72	0.81	0.12	26.1	9.86	7.79	-3.70	6.13	-3.56
NGC 596	\	21.2	2.56	18.03	0.76	1.97	0.55	4.16	10.29	8.69	-5.01	7.69	-4.52
NGC 1023	\	10.2	1.96	16.17	4.72	1.18	0.78	5.99	9.99	8.55	-4.46	8.17	-4.19
NGC 1172	\	29.8	2.55	18.61	1.52	1.64	1.01	2.57	10.23	8.42	-4.75	6.90	-3.24
NGC 1426	\	21.5	2.23	17.53	3.62	1.35	0.85	4.91	10.07	8.54	-4.87	7.50	-4.08
NGC 3115	\	8.4	2.07	16.17	1.47	1.43	0.78	7.14	10.23	8.61	-4.19	8.74	-4.28
NGC 3377	\	9.9	0.64	12.85	1.92	1.33	0.29	2.88	9.81	7.79	-4.16	7.51	-4.04
NGC 3599	\	20.3	2.12	17.58	13.0	1.66	0.79	2.09	9.82	7.91	-5.24	6.22	-4.15
NGC 3605	\	20.3	1.94	17.25	9.14	1.26	0.67	4.05	9.59	8.10	-5.17	6.76	-4.50
NGC 4239	\	15.3	1.98	18.37	14.5	0.96	0.65	3.37	9.19	7.49	-5.57	5.69	-4.84
NGC 4387	\	15.3	2.52	18.89	3.36	1.59	0.72	5.34	9.48	7.99	-5.13	6.83	-4.46
NGC 4434	\	15.3	2.25	18.21	0.98	1.78	0.70	4.73	9.52	7.97	-4.81	6.81	-4.16
NGC 4458	\	15.3	0.95	14.49	5.26	1.43	0.49	4.00	9.52	7.90	-4.58	6.78	-4.23
NGC 4464	\	15.3	1.95	17.35	1.64	1.68	0.88	4.82	9.22	7.69	-4.21	7.26	-3.88
NGC 4467	\	15.3	2.38	19.98	7.52	2.13	0.98	6.27	8.75	7.32	-4.48	6.04	-3.30
NGC 4478	\	15.3	1.10	15.40	3.32	0.84	0.43	5.03	9.79	8.27	-5.00	7.34	-4.64
NGC 4551	\	15.3	2.46	18.83	2.94	1.23	0.80	7.25	9.57	8.21	-4.96	7.11	-4.19
NGC 4564	\	15.3	1.59	15.70	0.25	1.90	0.05	4.48	9.91	8.40	-4.67	7.71	-4.27
NGC 4570	\	15.3	2.32	17.29	3.72	1.49	0.85	5.52	9.95	8.47	-4.49	8.01	-4.14
NGC 4621	\	15.3	2.34	17.20	0.19	1.71	0.50	6.73	10.44	8.45	-4.04	8.49	-4.07
NGC 4697	\	10.5	2.12	16.93	24.9	1.04	0.74	6.78	10.34	8.95	-5.03	7.73	-4.25
NGC 4742	\	12.5	1.93	16.69	48.6	1.99	1.09	1.76	9.62	7.65	-3.80	6.85	-2.90
NGC 5845	\	28.2	2.49	17.52	1.27	2.74	0.51	6.69	9.88	8.48	-4.56	8.70	-4.66
NGC 7332	\	20.3	1.88	15.72	4.25	1.34	0.90	1.56	9.90	7.87	-4.33	7.21	-3.78
A2052	\cap	132.0	2.43	18.36	8.02	0.75	0.20	12.80	11.00	9.88	-5.65	8.62	-4.90
NGC 720	\cap	22.6	2.55	17.50	2.32	1.66	0.06	8.15	10.58	9.27	-5.47	8.51	-5.50
NGC 1399	\cap	17.9	2.43	17.06	1.50	1.68	0.07	12.73	10.62	9.72	-5.22	9.08	-5.09
NGC 1600	\cap	50.2	2.88	18.38	1.98	1.50	0.08	14.30	11.01	10.06	-5.71	9.11	-5.62
NGC 3379	\cap	9.9	1.92	16.10	1.59	1.43	0.18	6.87	10.15	8.59	-4.90	8.30	-4.85
NGC 4168	\cap	36.4	2.65	18.33	0.95	1.50	0.14	7.54	10.64	9.08	-5.59	7.89	-5.47
NGC 4365	\cap	22.0	2.25	16.77	2.06	1.27	0.15	8.40	10.76	9.46	-5.29	8.57	-5.14
NGC 4472	\cap	15.3	2.25	16.66	2.08	1.17	0.04	9.20	10.96	9.42	-5.15	8.79	-5.05
NGC 4486	\cap	15.3	2.75	17.86	2.82	1.39	0.25	17.70	10.88	9.56	-5.35	9.16	-5.28
NGC 4486b	\cap	15.3	1.13	14.92	2.78	1.33	0.14	9.85	8.96	8.96	-4.84	8.17	-4.43
NGC 4636	\cap	15.3	2.38	17.72	1.64	1.33	0.13	10.40	10.60	8.36	-5.35	8.07	-5.37
NGC 4649	\cap	15.3	2.42	17.17	2.00	1.30	0.15	16.20	10.79	9.59	-5.19	9.19	-5.12
NGC 4874	\cap	93.3	3.08	19.18	2.33	1.37	0.13	15.00	11.35	10.32	-6.02	8.77	-5.91
NGC 4889	\cap	93.3	2.88	18.01	2.61	1.35	0.05	11.20	11.28	10.43	-5.81	9.20	-5.69
NGC 5813	\cap	28.3	2.04	16.42	2.15	1.33	0.08	7.10	10.66	9.29	-5.24	8.27	-5.10
NGC 6166	\cap	112.5	3.08	19.35	3.32	0.99	0.08	15.60	11.32	10.47	-6.16	8.84	-6.14
NGC 524	\cap	23.1	1.55	16.02	1.29	1.00	0.00	14.30	10.54	9.47	\ldots	8.62	\ldots
NGC 1316	\cap	17.9	1.55	14.43	1.16	1.00	0.00	2.56	11.06	9.25	\ldots	8.36	\ldots
NGC 1400	\cap	21.5	1.54	15.41	1.39	1.32	0.00	10.70	10.36	9.16	\ldots	8.62	\ldots
NGC 1700	\	35.5	1.19	13.95	0.90	1.30	0.00	4.00	10.59	8.97	\ldots	8.38	\ldots
NGC 2636	\	33.5	1.17	15.68	1.84	1.14	0.04	2.97	9.47	7.72	\ldots	6.52	\ldots
NGC 2832	\cap	90.2	2.60	17.45	1.84	1.40	0.02	10.90	11.11	10.06	\ldots	9.05	\ldots
NGC 2841	\	13.2	0.92	14.55	0.93	1.02	0.01	8.98	9.88	8.62	\ldots	8.23	\ldots
NGC 3608	\cap	20.3	1.44	15.45	1.05	1.33	0.00	7.04	10.27	8.39	\ldots	8.01	\ldots
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.30	0.00	7.66	10.35	8.67	\ldots	8.62	\ldots
NGC 7768	\cap	103.1	2.30	16.99	1.92	1.21	0.00	9.51	11.10	9.93	\ldots	8.82	\ldots
